OBJECTID,Y,X,Elevation,Aspect,Curvature,Profile,Plan,Slope,R,G,B,Rain,Valley_Depth,TPI,TRI,SPI,Dis_river,Dis_road,Geology,LULC,Slop_Length,MRVBF,MRRTF,TWI,NDVI,Gully
5807616,4162267.795199999585748,658319.097199999727309,1947,163.6104584,-0.1273866,0.0224800,-0.1049066,7.9056325,13036.0000000,11389.5000000,11258.0000000,354.4649353,246.2570801,0.1891892,1.7320508,1776.9641113,2289.6032715,2253.6374512,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1514323,G
5808558,4162270.795199999585748,658312.097199999727309,1947,163.6104584,-0.1273866,0.0224800,-0.1049066,7.9056325,13036.0000000,11389.5000000,11258.0000000,354.4649353,246.2570801,0.1891892,1.7320508,1794.1851807,2282.8703613,2230.9304199,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1514323,G
5809189,4162272.795199999585748,658309.097199999727309,1947,163.6104584,-0.1273866,0.0224800,-0.1049066,7.9056325,13036.0000000,11389.5000000,11258.0000000,354.4649353,246.2570801,0.1891892,1.7320508,1794.1851807,2282.8703613,2230.9304199,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1514323,G
5810130,4162275.795199999585748,658306.097199999727309,1948,161.5650482,-0.1273866,0.1757056,0.0483190,9.8757448,13036.0000000,11389.5000000,11258.0000000,354.4649353,246.2570801,0.1891892,1.7320508,1794.1851807,2282.8703613,2230.9304199,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1514323,G
5810758,4162277.795199999585748,658305.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13036.0000000,11389.5000000,11258.0000000,354.4649353,246.2570801,0.1891892,1.7320508,1794.1851807,2282.8703613,2230.9304199,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1514323,G
5811387,4162279.795199999585748,658304.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13036.0000000,11389.5000000,11258.0000000,354.4649353,246.2570801,0.1891892,1.7320508,1794.1851807,2310.1967773,2247.6748047,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1514323,G
5812332,4162282.795199999585748,658301.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13389.5000000,11760.0000000,11498.5000000,354.4649353,246.2570801,0.1891892,1.7320508,1794.1851807,2310.1967773,2247.6748047,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1514323,G
5814198,4162288.795199999585748,658298.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13389.5000000,11760.0000000,11498.5000000,354.4649353,246.2570801,0.1891892,1.7320508,1803.6544189,2310.1967773,2247.6748047,10,14.0000000,28.0180702,0.4467823,0.2866511,8.3795948,0.1627020,G
5815419,4162292.795199999585748,658295.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13092.0000000,11471.0000000,11380.5000000,354.4649353,243.4543457,0.7567568,2.1447611,1803.6544189,2310.1967773,2247.6748047,10,14.0000000,0.0000000,0.4344075,0.1929107,7.8958998,0.1399345,G
5816018,4162294.795199999585748,658294.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13092.0000000,11471.0000000,11380.5000000,354.4649353,243.4543457,0.7567568,2.1447611,1803.6544189,2310.1967773,2247.6748047,10,14.0000000,0.0000000,0.4344075,0.1929107,7.8958998,0.1399345,G
5816602,4162296.795199999585748,658291.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13092.0000000,11471.0000000,11380.5000000,354.4649353,242.8398438,1.1621622,1.9493588,1803.6544189,2310.1967773,2247.6748047,10,14.0000000,28.0180702,0.3376827,0.2652394,8.3278227,0.1399345,G
5818325,4162302.795199999585748,658285.097199999727309,1951,151.3895416,0.1273866,0.0254773,0.1528639,11.1802530,13092.0000000,11471.0000000,11380.5000000,354.4649353,242.8398438,1.1621622,1.9493588,1829.8590088,2303.8666992,2225.2619629,10,14.0000000,28.0180702,0.3376827,0.2652394,8.3278227,0.1399345,G
5820003,4162308.795199999585748,658277.097199999727309,1955,168.6900635,0.2547731,-0.1273866,0.1273866,9.0995197,13387.0000000,11728.5000000,11589.0000000,354.4649353,242.8398438,1.1621622,1.9493588,1829.8590088,2303.8666992,2225.2619629,10,14.0000000,28.0180702,0.3376827,0.2652394,8.3278227,0.1399345,G
5820555,4162310.795199999585748,658273.097199999727309,1955,168.6900635,0.2547731,-0.1273866,0.1273866,9.0995197,13387.0000000,11728.5000000,11589.0000000,354.4649353,242.8398438,1.1621622,1.9493588,1829.8590088,2331.2856445,2242.4006348,10,14.0000000,28.0180702,0.3376827,0.2652394,8.3278227,0.1641400,G
5849400,4161950.082000000402331,658941.229799999855459,1891,119.0546036,0.1273866,-0.2038185,-0.0764319,4.5932994,12467.0000000,11077.0000000,11144.0000000,355.2972717,293.3447266,1.7027028,1.4142135,1026.7844238,1759.5324707,2242.9287109,10,14.0000000,0.0000000,0.4883627,0.4034177,5.0559015,0.1307281,G
5855866,4162667.795199999585748,658865.097199999727309,1920,84.8055725,0.3821597,-0.3821597,-0.0000000,4.9277844,14025.0000000,12210.0000000,11491.0000000,353.6587219,269.1989746,1.2702702,1.3416408,1506.6140137,1691.5993652,1610.0711670,10,14.0000000,0.0000000,0.8826833,0.0700386,6.3792472,0.1821359,G
5856069,4162669.795199999585748,658871.097199999727309,1917,88.2642975,0.2547731,-0.2547731,-0.0000000,14.7293997,13803.0000000,12199.0000000,11374.0000000,353.6587219,269.1989746,1.2702702,1.3416408,1506.6140137,1663.6020508,1596.5316162,10,14.0000000,0.0000000,0.8826833,0.0700386,6.3792472,0.1781915,G
5856074,4162669.795199999585748,658876.097199999727309,1917,88.2642975,0.2547731,-0.2547731,-0.0000000,14.7293997,13803.0000000,12199.0000000,11374.0000000,353.6587219,269.1989746,1.2702702,1.3416408,1575.7523193,1663.6020508,1596.5316162,10,14.0000000,0.0000000,0.8826833,0.0700386,6.3792472,0.1781915,G
5856257,4162670.795199999585748,658909.097199999727309,1912,81.8698959,-0.5095462,0.5952871,0.0857409,9.4640722,13803.0000000,12199.0000000,11374.0000000,353.6587219,271.8471680,1.0810810,2.6457512,1460.5670166,1635.6082764,1583.3748779,10,14.0000000,39.6235352,0.7027121,0.0386884,6.8372421,0.1355671,G
5856402,4162671.795199999585748,658878.097199999727309,1917,88.2642975,0.2547731,-0.2547731,-0.0000000,14.7293997,13803.0000000,12199.0000000,11374.0000000,353.6587219,269.1989746,1.2702702,1.3416408,1575.7523193,1663.6020508,1596.5316162,10,14.0000000,0.0000000,0.8826833,0.0700386,6.3792472,0.1781915,G
5856407,4162671.795199999585748,658883.097199999727309,1917,88.2642975,0.2547731,-0.2547731,-0.0000000,14.7293997,13803.0000000,12199.0000000,11374.0000000,353.6587219,271.8471680,1.0810810,2.6457512,1575.7523193,1663.6020508,1596.5316162,10,14.0000000,39.6235352,0.7027121,0.0386884,6.8372421,0.1781915,G
5856422,4162671.795199999585748,658898.097199999727309,1912,81.8698959,-0.5095462,0.5952871,0.0857409,9.4640722,13803.0000000,12199.0000000,11374.0000000,353.6587219,271.8471680,1.0810810,2.6457512,1575.7523193,1635.6082764,1583.3748779,10,14.0000000,39.6235352,0.7027121,0.0386884,6.8372421,0.1355671,G
5856427,4162671.795199999585748,658903.097199999727309,1912,81.8698959,-0.5095462,0.5952871,0.0857409,9.4640722,13803.0000000,12199.0000000,11374.0000000,353.6587219,271.8471680,1.0810810,2.6457512,1575.7523193,1635.6082764,1583.3748779,10,14.0000000,39.6235352,0.7027121,0.0386884,6.8372421,0.1355671,G
